#
#Drill Setups
#
#
#Machine : U:\ucam-cfg\tbl-dir\frs
#
#Language : sum3000
#Resources : machinename with extension .rc
#
#
APE_MIN  APE_MAX    DIA    TOOL  PREDRILL  SPEED  FEED  BACKFEED  LIFE  DWELLTIME  HFEED  #IROUT  #OROUT  #NIBDRA  #NIBFLA #LEFT#RIGHT#OFF
 0.3900  0.4003  0.4000    0  0.0000      75.      0.3      0.5    30000        0      0.4     0     0     0     0     2
 0.5900  0.6003  0.6000    0  0.0000      75.      0.3      0.5    30000        0      0.4     0     0     0     0     2
 0.7900  0.8003  0.8000    0  0.0000      75.      0.4        1    30000        0      0.4     0     0     0     0     2
 0.9900  1.0003  1.0000    0  0.0000      64.      0.5        1    30000        0      0.5     0     0     0     0     2
 1.1900  1.2003  1.2000    0  0.0000      53.      0.5        1    30000        0      0.5     0     0     0     0     2
 1.2900  1.3003  1.3000    0  0.0000      49.      0.6      1.5    30000        0      0.6     0     0     0     0     2
 1.3900  1.4003  1.4000    0  0.0000      45.      0.6      1.5    30000        0      0.6     0     0     0     0     2
 1.4900  1.5003  1.5000    0  0.0000      42.      0.7      1.5    30000        0      0.7     0     0     0     0     2
 1.5900  1.6003  1.6000    0  0.0000      40.      0.7        2    30000        0      0.7     0     0     0     0     2
 1.7900  1.8003  1.8000    0  0.0000      35.      0.9        2    30000        0      0.9     0     0     0     0     2
 1.9900  2.0003  2.0000    0  0.0000      32.        1        2    30000        0      0.9     0     0     0     0     2
 2.3900  2.4003  2.4000    0  0.0000      27.        1        2    30000        0      0.9     0     0     0     0     2
 2.4900  2.5003  2.5000    0  0.0000      25.      1.2        2    30000        0      1.2     0     0     0     0     2
 2.7900  2.8003  2.8000    0  0.0000      25.      1.2        2    30000        0      1.2     0     0     0     0     2
 2.9900  3.0003  3.0000    0  0.0000      21.      1.1        2    30000        0      1.1     0     0     0     0     2
 3.1500  3.1860  3.1750    0  0.0000      20.      1.1        2    30000        0      1.1     0     0     0     0     2
 3.4900  3.5003  3.5000    0  0.0000      20.        1        2    30000        0        1     0     0     0     0     2
 0.0000  0.0000  0.0000 0.0000  0.0000     0         0        0        0        0        0     0     0     0     0     0
 0.2900  0.3100  0.3000    0  0.0000      75.      0.4      6.0     4000      100        0     0     0     0     0     3
 0.3400  0.3600  0.3500    0  0.0000      75.      0.4      7.0     4000      100        0     0     0     0     0     3
 0.3900  0.4100  0.4000    0  0.0000      75.      0.4      8.0     4000      100        0     0     0     0     0     3
 0.4400  0.4600  0.4500    0  0.0000      75.      0.4      8.0     4000      100        0     0     0     0     0     3
 0.4900  0.5100  0.5000    0  0.0000      75.      0.5      8.0     4000      100        0     0     0     0     0     3
 0.5400  0.5600  0.5500    0  0.0000      75.      0.5      8.0     4000      100        0     0     0     0     0     3
 0.5900  0.6100  0.6000    0  0.0000      75.      0.5      8.0     5000      100        0     0     0     0     0     3
 0.6400  0.6600  0.6500    0  0.0000      73.      0.5      8.0     5000        0        0     0     0     0     0     3
 0.6900  0.7100  0.7000    0  0.0000      68.      0.5      8.0     5000        0        0     0     0     0     0     3
 0.7400  0.7600  0.7500    0  0.0000      64.      0.5      8.0     5000        0        0     0     0     0     0     3
 0.7900  0.8100  0.8000    0  0.0000      60.      0.6      8.0     5000        0        0     0     0     0     0     3
 0.8400  0.8600  0.8500    0  0.0000      56.      0.6      8.0     5000        0        0     0     0     0     0     3
 0.8900  0.9100  0.9000    0  0.0000      53.      0.6      8.0     5000        0        0     0     0     0     0     3
 0.9400  0.9600  0.9500    0  0.0000      50.      0.6      8.0     5000        0        0     0     0     0     0     3
 0.9900  1.0100  1.0000    0  0.0000      48.      0.6      8.0     5000        0        0     0     0     0     0     3
 1.0400  1.0600  1.0500    0  0.0000      45.      0.6      8.0     5000        0        0     0     0     0     0     3
 1.0900  1.1100  1.1000    0  0.0000      45.      0.6        8     5000        0        0     0     0     0     0     3
 1.1400  1.1600  1.1500    0  0.0000      44.      0.6        8     5000        0        0     0     0     0     0     3
 1.1900  1.2100  1.2000    0  0.0000      44.      0.7        8     5000        0        0     0     0     0     0     3
 1.2400  1.2600  1.2500    0  0.0000      42.      0.7        8     5000        0        0     0     0     0     0     3
 1.2900  1.3100  1.3000    0  0.0000      42.      0.7        8     5000        0        0     0     0     0     0     3
 1.3400  1.3600  1.3500    0  0.0000      42.      0.7        8     5000        0        0     0     0     0     0     3
 1.3900  1.4100  1.4000    0  0.0000      40.      0.7        8     5000        0        0     0     0     0     0     3
 1.4400  1.4600  1.4500    0  0.0000      40.      0.7        8     5000        0        0     0     0     0     0     3
 1.4900  1.5100  1.5000    0  0.0000      40.      0.7        8     5000        0        0     0     0     0     0     3
 1.5400  1.5600  1.5500    0  0.0000      38.      0.8        8     5000        0        0     0     0     0     0     3
 1.5900  1.6100  1.6000    0  0.0000      38.      0.8        8     5000        0        0     0     0     0     0     3
 1.6400  1.6600  1.6500    0  0.0000      38.      0.8        8     5000        0        0     0     0     0     0     3
 1.6900  1.7100  1.7000    0  0.0000      37.      0.8        8     5000        0        0     0     0     0     0     3
 1.7400  1.7600  1.7500    0  0.0000      37.      0.8        8     5000        0        0     0     0     0     0     3
 1.7900  1.8100  1.8000    0  0.0000      37.      0.9        8     5000        0        0     0     0     0     0     3
 1.8400  1.8600  1.8500    0  0.0000      37.      0.9        8     5000        0        0     0     0     0     0     3
 1.8900  1.9100  1.9000    0  0.0000      37.      0.9        8     5000        0        0     0     0     0     0     3
 1.9400  1.9600  1.9500    0  0.0000      36.      0.9        8     5000        0        0     0     0     0     0     3
 1.9900  2.0100  2.0000    0  0.0000      36.      1.0        8     1000        0        0     0     0     0     0     3
 2.0400  2.0600  2.0500    0  0.0000      36.      1.0        8     1000        0        0     0     0     0     0     3
 2.0900  2.1100  2.1000    0  0.0000      36.      1.0        8     1000        0        0     0     0     0     0     3
 2.1400  2.1600  2.1500    0  0.0000      36.      1.0        8     1000        0        0     0     0     0     0     3
 2.1900  2.2100  2.2000    0  0.0000      35.      1.1        8    30000        0        0     0     0     0     0     3
 2.2900  2.3100  2.3000    0  0.0000      34.      1.1        8     1000        0        0     0     0     0     0     3
 2.3900  2.4100  2.4000    0  0.0000      32.      1.1        8     1000        0        0     0     0     0     0     3
 2.4900  2.5100  2.5000    0  0.0000      32.      1.2        8     1000        0        0     0     0     0     0     3
 2.5900  2.6100  2.6000    0  0.0000      30.      1.2        8     1000        0        0     0     0     0     0     3
 2.6900  2.7100  2.7000    0  0.0000      30.      1.2        8     1000        0        0     0     0     0     0     3
 2.7900  2.8100  2.8000    0  0.0000      30.      1.2        8     1000        0        0     0     0     0     0     3
 2.8900  2.9100  2.9000    0  0.0000      28.      1.2        8     1000        0        0     0     0     0     0     3
 2.9900  3.0100  3.0000    0  0.0000      28.      1.1        8     1000        0        0     0     0     0     0     3
 3.0400  3.0600  3.0500    0  0.0000      28.      1.1        8     1000        0        0     0     0     0     0     3
 3.0900  3.1100  3.1000    0  0.0000      28.      1.1        8     1000        0        0     0     0     0     0     3
 3.1900  3.2100  3.2000    0  0.0000      28.      1.1        8     1000        0        0     0     0     0     0     3
 3.2900  3.3100  3.3000    0  0.0000      28.      1.1        8     1000        0        0     0     0     0     0     3
 3.3900  3.4100  3.4000    0  0.0000      28.      1.1        8     1000        0        0     0     0     0     0     3
 3.4900  3.5100  3.5000    0  0.0000      28.      1.0        8     1000        0        0     0     0     0     0     3
 3.5900  3.6100  3.6000    0  0.0000      28.      1.0        8     1000        0        0     0     0     0     0     3
 3.6900  3.7100  3.7000    0  0.0000      28.      1.0        8     1000        0        0     0     0     0     0     3
 3.7900  3.8100  3.8000    0  0.0000      28.      1.0        8     1000        0        0     0     0     0     0     3
 3.8900  3.9100  3.9000    0  0.0000      28.      1.0        8     1000        0        0     0     0     0     0     3
 3.9900  4.0100  4.0000    0  0.0000      28.      0.9        8      500        0        0     0     0     0     0     3
 4.0400  4.0600  4.0500    0  0.0000      28.      0.9        8      500        0        0     0     0     0     0     3
 4.0900  4.1100  4.1000    0  0.0000      28.      0.9        8      500        0        0     0     0     0     0     3
 4.1400  4.1600  4.1500    0  0.0000      28.      0.9        8      500        0        0     0     0     0     0     3
 4.1900  4.2100  4.2000    0  0.0000      28.      0.8        8      500        0        0     0     0     0     0     3
 4.2900  4.3100  4.3000    0  0.0000      28.      0.8        8      500        0        0     0     0     0     0     3
 4.3900  4.4100  4.4000    0  0.0000      28.      0.8        8      500        0        0     0     0     0     0     3
 4.4900  4.5100  4.5000    0  0.0000      28.      0.8        8      500        0        0     0     0     0     0     3
 4.5900  4.6100  4.6000    0  0.0000      28.      0.8        8      500        0        0     0     0     0     0     3
 4.6900  4.7100  4.7000    0  0.0000      28.      0.8        8      500        0        0     0     0     0     0     3
 4.7900  4.8100  4.8000    0  0.0000      28.      0.8        8      500        0        0     0     0     0     0     3
 4.8900  4.9100  4.9000    0  0.0000      28.      0.7        8      500        0        0     0     0     0     0     3
 4.9900  5.0100  5.0000    0  0.0000      28.      0.7        8      500        0        0     0     0     0     0     3
 5.0900  5.1100  5.1000    0  0.0000      28.      0.7        8      500        0        0     0     0     0     0     3
 5.1900  5.2100  5.2000    0  0.0000      28.      0.7        8      500        0        0     0     0     0     0     3
 5.2900  5.3100  5.3000    0  0.0000      28.      0.6        8      500        0        0     0     0     0     0     3
 5.3900  5.4100  5.4000    0  0.0000      28.      0.6        8      500        0        0     0     0     0     0     3
 5.4900  5.5100  5.5000    0  0.0000      28.      0.6        8      500        0        0     0     0     0     0     3
 5.5900  5.6100  5.6000    0  0.0000      28.      0.6        8      500        0        0     0     0     0     0     3
 5.6900  5.7100  5.7000    0  0.0000      28.      0.5        8      500        0        0     0     0     0     0     3
 5.7900  5.8100  5.8000    0  0.0000      28.      0.5        8      500        0        0     0     0     0     0     3
 5.8900  5.9100  5.9000    0  0.0000      28.      0.5        8      500        0        0     0     0     0     0     3
 5.9900  6.0100  6.0000    0  0.0000      28.      0.5        8      500        0        0     0     0     0     0     3
 6.0900  6.1100  6.1000    0  0.0000      28.      0.5        8      500        0        0     0     0     0     0     3
